Payer;Sold To;Name;Invoice list;Month of invoice;Invoice;Item;Billing date;Payment terms;Order;PO number;Item category;Material;Material text;Brand;BU;Prod hier;Quantity;ZZE1;;;;;;;;;;;;;;;Subtotal 1;Net value;Sales Deal;Pricing date at item line;Region;Salesman;Storage;Reference;Mat.grp;Billing type;Mat.grp5;Net weight;Cust.Hier. 1;Cust.Hier. 2;Cust.Hier. 3;Cust.Hier. 4;Cust.Hier. 5;Ship to;Sh.First Name;Sh.Last Name;Delivery;Pricing ref. material;EAN Family code;Customer material number;PO date;Posting Status
329210;329210;NEUMATICOS IRUÑA S.L.;5901009174;December;5098384335;10;01.12.2017;C076;2165385305;;TAN;530899;205/55R16 94H UG 9 MS XL;10;10;11010013010020SH2I;4.000;        1.38;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;      584.00;           303.36;;01.12.2017;31;10017180;1;5098384335;FG125H;ZZF2;C2;32.276;EU1SOTDIG0;EU2OCDBFC0;EU3BFCVUL0;ES4BFCVULE;ES500IRUÑA;329210;NEUMATICOS IRUÑA S.L.;;4024067701;;5,452E+12;;30.11.2017;C
329210;329210;NEUMATICOS IRUÑA S.L.;5901009174;December;5098384335;20;01.12.2017;C076;2165385316;;TAN;529447;185/65R15 88T EFFIGRIP COMPACT OT;10;10;11010011010010ST2D;6.000;        1.38;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;      486.00;           256.14;;01.12.2017;31;10017180;1;5098384335;FG112;ZZF2;C2;47.280;EU1SOTDIG0;EU2OCDBFC0;EU3BFCVUL0;ES4BFCVULE;ES500IRUÑA;329210;NEUMATICOS IRUÑA S.L.;;4024067701;;5,452E+12;;30.11.2017;C
329210;329210;NEUMATICOS IRUÑA S.L.;5901009174;December;5098384335;30;01.12.2017;C076;2165385316;;TAN;532764;245/45R18 100Y EAG F1 ASY 3 XL FP;10;10;11010011010030SY2T;4.000;        1.38;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;        0.00;      964.00;           485.16;;01.12.2017;31;10017180;1;5098384335;FG114;ZZF2;C2;39.600;EU1SOTDIG0;EU2OCDBFC0;EU3BFCVUL0;ES4BFCVULE;ES500IRUÑA;329210;NEUMATICOS IRUÑA S.L.;;4024067701;;5,452E+12;;30.11.2017;C
